18 gru 2017 03:07:06,403 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:07,598 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:08,775 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:09,945 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:11,230 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:12,439 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:13,727 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:14,925 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:16,172 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:17,348 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:18,550 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:19,798 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:21,016 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:22,212 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:23,386 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:24,696 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:25,910 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:27,125 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:28,372 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:29,568 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:30,770 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:32,012 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:33,276 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:34,470 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:35,684 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:36,889 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:38,064 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:39,306 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:40,543 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:41,725 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:43,028 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:44,250 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:45,486 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:46,676 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:47,865 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:49,067 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:50,236 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:51,470 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:52,677 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:53,846 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:55,066 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:56,253 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:57,443 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:58,722 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:07:59,937 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
18 gru 2017 03:08:01,117 Ticker [currencyPair=GAME/PLN, open=null, last=9.27, bid=9.27, ask=9.4, high=9.54, low=8.82,avg=null, volume=353996.88110003, quoteVolume=null, timestamp=null]
